Country_Region,Country_SubRegion,Country_InterRegion,Country,Country Code
Africa,Northern Africa,NaN,Algeria,DZA
Africa,Northern Africa,NaN,Egypt,EGY
Africa,Northern Africa,NaN,Libya,LBY
Africa,Northern Africa,NaN,Morocco,MAR
Africa,Northern Africa,NaN,Sudan,SDN
Africa,Northern Africa,NaN,Tunisia,TUN
Africa,Northern Africa,NaN,Western Sahara,ESH
Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory,IOT
Africa,Sub-Saharan Africa,Eastern Africa,Burundi,BDI
Africa,Sub-Saharan Africa,Eastern Africa,Comoros,COM
Africa,Sub-Saharan Africa,Eastern Africa,Djibouti,DJI
Africa,Sub-Saharan Africa,Eastern Africa,Eritrea,ERI
Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia,ETH
Africa,Sub-Saharan Africa,Eastern Africa,French Southern Territories,ATF
Africa,Sub-Saharan Africa,Eastern Africa,Kenya,KEN
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar,MDG
Africa,Sub-Saharan Africa,Eastern Africa,Malawi,MWI
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius,MUS
Africa,Sub-Saharan Africa,Eastern Africa,Mayotte,MYT
Africa,Sub-Saharan Africa,Eastern Africa,Mozambique,MOZ
Africa,Sub-Saharan Africa,Eastern Africa,Reunion,REU
Africa,Sub-Saharan Africa,Eastern Africa,Rwanda,RWA
Africa,Sub-Saharan Africa,Eastern Africa,Seychelles,SYC
Africa,Sub-Saharan Africa,Eastern Africa,Somalia,SOM
Africa,Sub-Saharan Africa,Eastern Africa,South Sudan,SSD
Africa,Sub-Saharan Africa,Eastern Africa,Uganda,UGA
Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania,TZA
Africa,Sub-Saharan Africa,Eastern Africa,Zambia,ZMB
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe,ZWE
Africa,Sub-Saharan Africa,Middle Africa,Angola,AGO
Africa,Sub-Saharan Africa,Middle Africa,Cameroon,CMR
Africa,Sub-Saharan Africa,Middle Africa,Central African Republic,CAF
Africa,Sub-Saharan Africa,Middle Africa,Chad,TCD
Africa,Sub-Saharan Africa,Middle Africa,Congo,COG
Africa,Sub-Saharan Africa,Middle Africa,Democratic Republic of the Congo,COD
Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea,GNQ
Africa,Sub-Saharan Africa,Middle Africa,Gabon,GAB
Africa,Sub-Saharan Africa,Middle Africa,Sao Tome and Principe,STP
Africa,Sub-Saharan Africa,Southern Africa,Botswana,BWA
Africa,Sub-Saharan Africa,Southern Africa,Eswatini,SWZ
Africa,Sub-Saharan Africa,Southern Africa,Lesotho,LSO
Africa,Sub-Saharan Africa,Southern Africa,Namibia,NAM
Africa,Sub-Saharan Africa,Southern Africa,South Africa,ZAF
